X,Y,Crop_Type
0,0,Unknown
50,0,Unknown
100,0,Unknown
150,0,Unknown
200,0,Unknown
250,0,Unknown
300,0,Unknown
350,0,Unknown
400,0,Unknown
450,0,Unknown
500,0,Unknown
550,0,Unknown
600,0,Unknown
650,0,Unknown
700,0,Unknown
750,0,Unknown
800,0,Unknown
850,0,Unknown
900,0,Unknown
950,0,Unknown
1000,0,Unknown
1050,0,Unknown
1100,0,Unknown
1150,0,Unknown
1200,0,Unknown
1250,0,Unknown
1300,0,Unknown
1350,0,Unknown
1400,0,Unknown
1450,0,Unknown
1500,0,Unknown
1550,0,Unknown
1600,0,Unknown
1650,0,Unknown
1700,0,Unknown
1750,0,Unknown
1800,0,Unknown
1850,0,Unknown
1900,0,Unknown
1950,0,Unknown
2000,0,Unknown
2050,0,Unknown
2100,0,Unknown
2150,0,Unknown
2200,0,Unknown
2250,0,Unknown
2300,0,Unknown
